category,requirement,product,doc_link,tenant_link
Democratized access to review issues,Able to RBAC a view of the relevant applications resources and infrastructure to the approriate team.,Defend,,
Democratized access to review issues,Able to automate team access,Defend,,
Democratized access to review issues,Integrates with SSO,Defend,,
Full Stack Attack Vector & Risk Analysis,Identify Risk-Prioritized Issues,Cloud,https://docs.wiz.io/wiz-docs/docs/issues ,https://app.wiz.io/issues
Full Stack Attack Vector & Risk Analysis,Able to remediate critical issues,Cloud,https://docs.wiz.io/wiz-docs/docs/risk-specific-use-cases,https://app.wiz.io/issues
Full Stack Attack Vector & Risk Analysis,Able to view the Issue in the Security Graph and follow the remediation recommendations,Cloud,https://docs.wiz.io/wiz-docs/docs/security-graph ,
Complete Network Exposure Visibility,Follow up on Security Issues in the External Exposure dashboard,Cloud,https://docs.wiz.io/wiz-docs/docs/external-exposure ,https://app.wiz.io/
Complete Network Exposure Visibility,Identify Exposed Resources from the Network Exposure Report,Cloud,https://docs.wiz.io/wiz-docs/docs/network-exposure ,https://app.wiz.io/explorer/network-exposure/public-internet
Complete Network Exposure Visibility,Identify Externally Exposed data buckets and database servers using the Security Graph,Cloud,,https://app.wiz.io/graph
Complete Network Exposure Visibility,Able to view true network exposure path for containers,Cloud,,https://app.wiz.io/graph
Identity Analysis and Visibility,Follow up on Security Issues in the Cloud Entitlements dashboard,Cloud,https://docs.wiz.io/wiz-docs/docs/cloud-entitlements,https://app.wiz.io/
Identity Analysis and Visibility,Able to identify effective entitlements and document over-privileged entities,Cloud,,
Identity Analysis and Visibility,Able to detect Excessive Permissions in your cloud environments using the Excessive Access Findings,Cloud,,https://app.wiz.io/graph
Identity Analysis and Visibility,"Able to detect weak security measures on user accounts (e.g. missing MFA, Inactive keys etc.)",Cloud,,
Identity Analysis and Visibility,Able to identify and investigate Lateral Movement Findings and potential Attack Path Analysis.,Cloud,,https://app.wiz.io/graph
Exposed Secrets Analysis,Follow up on Security Issues in the Secure Use of Secrets dashboard,Cloud,https://docs.wiz.io/wiz-docs/docs/sec-secrets,https://app.wiz.io/
Exposed Secrets Analysis,Able to search and identify Cloud keys stored on your cloud resources,Cloud,,https://app.wiz.io/graph
Exposed Secrets Analysis,"Able to detect unwanted or weak secrets on workloads (e.g. certificates, SSH keys, DB connection strings, etc.)",Cloud,,
Exposed Secrets Analysis,Able to correlate roles and service accounts with detected cloud keys and investigate lateral movement scenarios,Cloud,,
